PERMEN LHK. 3/0,UU. 5/1990,PP. 13/1994,PP. 18/1994,PP. 68/1998,UU. 41/1999,PP. 7/1999,PP. 8/1999,PP. 34/2002,PP. 35/2002,PP. 63/2002,UU. 19/2004,PP. 44/2004,PP. 45/2004,PERMEN LH. 10/2006,PERMEN LH. 11/2006,PERMEN LH. 12/2006,PERMEN LH. 14/2006,UU. 16/2006,PERMEN LH. 2/2006,PERMEN LH. 3/2006
Peraturan Menteri Negara Lingkungan Hidup Nomor 14 Tahun 2012 tentang Paduan Valuasi Ekonomi Sistem Gambut,Peraturan Menteri Kehutanan Nomor P.15/Menhut-II/2012 tentang Pedoman Umum Pengembangan Perhutanan Masyarakat Pedesaan Berbasis Konservasi,Peraturan Menteri Negara Lingkungan Hidup Nomor 15 Tahun 2012 tentang Panduan Valuasi Ekosistem Hutan,Peraturan Menteri Kehutanan Nomor P.16/Menhut-II/2012 tentang Panduan Penanaman Satu Milyar Pohon Tahun 2012,Peraturan Menteri Negara Lingkungan Hidup Nomor 16 Tahun 2012 tentang Pedoman Penyusunan Dokumen Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.17/Menhut-II/2012 tentang Pedoman Teknis Kebun Bibit Rakyat,Peraturan Menteri Negara Lingkungan Hidup Nomor 17 Tahun 2012 tentang Pedoman Keterlibatan Masyarakat dalam Proses Analisis Dampak Lingkungan dan Izin Lingkungan,Peraturan Menteri Kehutanan Nomor P.18/Menhut-II/2012 tentang Tata Cara Penilaian Ganti Rugi Tanaman Hasil Rehabilitasi Hutan Akibat Penggunaan Kawasan Hutan dan Perubahan Peruntukan Kawasan Hutan,Peraturan Menteri Negara Lingkungan Hidup Nomor 18 Tahun 2012 tentang Perubahan atas Peraturan Menteri Negara Lingkungan Hidup Nomor 16 Tahun 2010 tentang Organisasi dan Tata Kerja Kementerian Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.19/Menhut-II/2012 tentang Perubahan Kedua Atas Peraturan Menteri Kehutanan Nomor P.62/Menhut-II/2008 tentang Rencana Kerja Usaha Pemanfaatan Hasil Hutan Kayu Hutan Tanaman Industri dan Hutan Tanaman Rakyat,Peraturan Menteri Negara Lingkungan Hidup Nomor 19 Tahun 2012 tentang Program Kampung Iklim,Peraturan Menteri Kehutanan Nomor P.2/Menhut-II/2012 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.44/Menhut-II/2008 tentang Tata Cara Pelaksanaan Penggunaan Pemanfaatan Penghapusan dan Pemindahtanganan Barang Milik Negara Lingkup Kement,Peraturan Menteri Negara Lingkungan Hidup Nomor 02 Tahun 2012 tentang Tata Laksana Jabatan Penyidik Pegawai Negeri Sipil Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.20/Menhut-II/2012 tentang Penyelenggaraan Karbon Hutan,Peraturan Menteri Negara Lingkungan Hidup Nomor 20 Tahun 2012 tentang Pedoman Umum Pelaksanaan Pendidikan dan/atau Pelatihan di Bidang Perlindungan dan Pengelolaan Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.21/Menhut-II/2012 tentang Pedoman Umum Penilaian Lomba Penghijauan dan Konservasi Alam Wana Lestari,Peraturan Menteri Negara Lingkungan Hidup Nomor 21 Tahun 2012 tentang Akreditasi Lembaga Pelaksanaan Pendidikan dan/atau Pelatihan di Bidang Perlindungan dan Pengelolaan Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.22/Menhut-II/2012 tentang Pedoman Kegiatan Usaha Pemanfaatan Jasa Lingkungan Wisata Alam pada Hutan Lindung,"Peraturan Menteri Negara Lingkungan Hidup Nomor 22 Tahun 2012 tentang Perubahan atas Peraturan Menteri Negara Lingkungan Hidup Nomor 14 Tahun 2009 tentang Petunjuk Teknis Pelaksanan Anggaran, Sistem Akuntansi dan Pelaporan Keuangan pada Satuan Kerja",Peraturan Menteri Kehutanan Nomor P.23/Menhut-II/2012 tentang Pedoman Pelaporan Keuangan Pengelolaan Hutan pada Perum Perhutani,Peraturan Menteri Negara Lingkungan Hidup Nomor 23 Tahun 2012 tentang Perubahan atas Peraturan Menteri Negara Lingkungan Hidup Nomor 10 Tahun 2012 tentang Baku Mutu Emisi Gas Buang Kendaraan Bermotor Tipe Baru Kategori L3
PERMENHUT. 24/2012,PERMEN LH. 24/2012,PERMENHUT. 25/2012,PERMEN LH. 25/2012,PERMENHUT. 26/2012,PERMEN LH. 26/2012,PERMENHUT. 27/2012,PP. 27/2012,PERMENHUT. 29/2012,PERMENHUT. 3/2012,PERMEN LH. 3/2012,PERMENHUT. 30/2012,PERMENHUT. 31/2012,PERMENHUT. 32/2012,PERMENHUT. 33/2012,PERMENHUT. 34/2012,PERMENHUT. 35/2012,PERMENHUT. 36/2012,PERMENHUT. 37/2012,PP. 37/2012,PERMENHUT. 38/2012
Peraturan Menteri Kehutanan Nomor P.24/Menhut-II/2012 tentang Petunjuk Teknis Pelaksanaan Urusan Pemerintahan (Dekonsentrasi) bidang Kehutanan Tahun 2012 yang Dilimpahkan kepada Gubernur Selaku Wakil Pemerintah,Peraturan Menteri Negara Lingkungan Hidup Nomor 24 Tahun 2012 tentang Petunjuk Teknis Penyelenggaraan Dekonsentrasi dan Tugas Pembantuan Bidang Lingkungan Hidup Tahun 2013,"Peraturan Menteri Kehutanan Nomor P.20/Menhut-II/2012 tentang Petunjuk Teknis Pelaksanaan Penugasan Sebagian Urusan Pemerintahan Bidang Kehutanan Tahun 2012 kepada Bupati Berau, Bupati Malinau, dan Bupati Kapuas Hulu Dalam Rangka Demonstration Activi",Peraturan Menteri Negara Lingkungan Hidup Nomor 25 Tahun 2012 tentang Pedoman Penyusunan Dokumen Analisis Risiko Lingkungan Produk Rekayasa Genetika,Peraturan Menteri Kehutanan Nomor P.26/Menhut-II/2012 tentang Perubahan atas Peraturan Menteri Kehutanan Nomor P.50/Menhut-II/2010 tentang Tata Cara Pemberian dan Perluasan Areal Kerja Izin Usaha Pemanfaatan Hasil Hutan Kayu (IUPHHK) dalam Hutan Alam,Peraturan Menteri Negara Lingkungan Hidup Nomor 26 Tahun 2012 tentang Petunjuk Teknis Pemanfaatan Dana Alokasi Khusus Bidang Lingkungan Hidup Tahun Anggaran 2013,Peraturan Menteri Kehutanan Nomor P.27/Menhut-II/2012 tentang Perubahan atas Peraturan Menteri Kehutanan Nomor P.15/Menhut-II/2012 tentang Pedoman Umum Pengembangan Perhutanan Masyarakat Pedesaan Berbasis Konservasi,Peraturan Pemerintah Nomor 27 Tahun 2012 tentang Izin Lingkungan,Peraturan Menteri Kehutanan Nomor P.29/Menhut-II/2012 tentang Perubahan Kedua atas Peraturan Menteri Kehutanan Nomor P.20/Menhut-II/2005 tentang Kerjasama Operasi (KSO) pada Izin Usaha Pemanfaatan Hasil Hutan Kayu pada Hutan Tanaman,Peraturan Menteri Kehutanan Nomor P.3/Menhut-II/2012 tentang Rencana Kerja pada Usaha Pemanfaatan Hasil Hutan Kayu Hutan Tanaman Rakyat,Peraturan Menteri Negara Lingkungan Hidup Nomor 03 Tahun 2012 tentang Taman Keanekaragaman Hayati,Peraturan Menteri Kehutanan Nomor P.30/Menhut-II/2012 tentang Penataan Hasil Hutan yang Berasal dari Hutan Hak,Peraturan Menteri Kehutanan Nomor P.31/Menhut-II/2012 tentang Lembaga Konservasi,Peraturan Menteri Kehutanan Nomor P.32/Menhut-II/2012 tentang Penyelenggaraan Sistem Pengendalian Intern Pemerintah di Lingkungan Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.33/Menhut-II/2012 tentang Perubahan atas Peraturan Menteri Kehutanan Nomor P.40/Menhut-II/2010 tentang Organisasi dan Tata Kerja Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.34/Menhut-II/2012 tentang Pedoman Penilaian Lomba dan Pemberian Penghargaan Penanaman Satu Milyar Pohon Tingkat Nasional,Peraturan Menteri Kehutanan Nomor P.35/Menhut-II/2012 tentang Pedoman Pemanfaatan Sarana dan Prasarana Penyuluhan Kehutanan,Peraturan Menteri Kehutanan Nomor P.36/Menhut-II/2012 tentang Tata Cara Penyaluran dan Pengembalian Dana Bergulir untuk Kegiatan Rehabilitasi Hutan dan Lahan,Peraturan Menteri Kehutanan Nomor P.37/Menhut-II/2012 tentang Rencana Kerja Kementerian Kehutanan Tahun 2013,Peraturan Menteri Kehutanan Nomor P.37/Menhut-II/2012 tentang Pengelolaan Daerah Aliran Sungai,Peraturan Menteri Kehutanan Nomor P.38/Menhut-II/2012 tentang Perubahan atas Peraturan Menteri Kehutanan Nomor P.18/Menhut-II/2011 tentang Pedoman Pinjam Pakai Kawasan Hutan
PERMENHUT. 39/2012,PERMENHUT. 4/2012,PERMEN LH. 4/2012,PERMENHUT. 40/2012,PERMENHUT. 41/2012,PERMENHUT. 42/2012,PERMENHUT. 43/2012,PERMENHUT. 44/2012,PERMENHUT. 45/2012,PERMENHUT. 46/2012,PERMENHUT. 47/2012,PERMENHUT. 48/2012,PERMENHUT. 5/2012,PERMEN LH. 5/2012,PERMENHUT. 6/2012,PERMEN LH. 6/2012,PP. 60/2012,PP. 61/2012,PERMENHUT. 7/2012,PERMEN LH. 7/2012,PERMENHUT. 8/2012
Peraturan Menteri Kehutanan Nomor P.39/Menhut-II/2012 tentang Pertukaran Jenis Tumbuhan atau Satwa Liar Dilindungi dengan Lembaga Konservasi di Luar Negeri,"Peraturan Menteri Kehutanan Nomor P.4/Menhut-II/2012 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.48/Menhut-II/2010 tentang Pengusahaan Pariwisata Alam di Suaka Margasatwa, Taman Nasional, Taman Hutan Raya dan Taman Wisata Alam",Peraturan Menteri Negara Lingkungan Hidup Nomor 04 Tahun 2012 tentang Indikator Ramah Lingkungan untuk Usaha dan/atau Kegiatan Penambangan Terbuka Batubara,Peraturan Menteri Kehutanan Nomor P.40/Menhut-II/2012 tentang Perubahan atas Peraturan Menteri Kehutanan Nomor P.52/Menhut-II/2006 tentang Peragaan Jenis Tumbuhan dan Satwa Liar Dilindungi,Peraturan Menteri Kehutanan Nomor P.41/Menhut-II/2012 tentang Perubahan atas Peraturan Menteri Kehutanan Nomor P.32/Menhut-II/2010 tentang Tukar Menukar Kawasan Hutan,Peraturan Menteri Kehutanan Nomor P.42/Menhut-II/2012 tentang Penyuluh Kehutanan Swasta dan Penyuluh Kehutanan Swadaya Masyarakat,Peraturan Menteri Kehutanan Nomor P.41/Menhut-II/2012 tentang Tata Hubungan Kerja antara Instansi Kehutanan Pusat dan Daerah dalam rangka Penyelenggaraan Hutan Kemasyarakatan dan Hutan Desa,Peraturan Menteri Kehutanan Nomor P.44/Menhut-II/2012 tentang Pengukuhan Kawasan Hutan,Peraturan Menteri Kehutanan Nomor P.45/Menhut-II/2012 tentang Perubahan Kedua atas Peraturan Menteri Kehutanan Nomor P.38/Menhut-II/2009 tentang Standar dan Pedoman Penilaian Kinerja Pengelolaan Hutan Produksi Lestari dan Verifikasi Legalitas Kayu pa,Peraturan Menteri Kehutanan Nomor P.41/Menhut-II/2012 tentang Metode dan Materi Penyuluhan Kehutanan,Peraturan Menteri Kehutanan Nomor P.47/Menhut-II/2012 tentang Petunjuk Teknis Penggunaan Dana Alokasi Khusus (DAK) bidang Kehutanan Tahun Anggaran 2013,Peraturan Menteri Kehutanan Nomor P.48/Menhut-II/2012 tentang Penatausahaan Persediaan lingkup Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.1/Menhut-II/2012 tentang Pedoman Pelaksanaan Tugas Kehumasan di Lingkungan Kementerian Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 05 Tahun 2012 tentang Jenis Rencana Usaha dan/atau Kegiatan yang Wajib Memiliki Analisis Mengenai Dampak Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.1/Menhut-II/2012 tentang Pelimpahan Sebagian Urusan Pemerintahan (Dekonsentrasi) Bidang Kehutanan Tahun 2012 kepada 33 Gubernur Pemerintah Provinsi Selaku Wakil Pemerintah,Peraturan Menteri Negara Lingkungan Hidup Nomor 06 Tahun 2012 tentang Pedoman Rencana Pembiayaan Penerapan Standar Pelayanan Minimal bidang Lingkungan Hidup Daerah Provinsi dan Daerah Kabupaten/Kota,Peraturan Menteri Kehutanan Nomor P.60/Menhut-II/2012 tentang Perubahan Peruntukan,Peraturan Menteri Kehutanan Nomor P.61/Menhut-II/2012 tentang Penggunaan Kawasan Hutan,"Peraturan Menteri Kehutanan Nomor P.7/Menhut-II/2012 tentang Penugasan (Medebewin) Sebagian Urusan Pemerintahan Bidang Kehutanan Tahun 2012 kepada Bupati Berau, Bupati Malinau, dan Bupati Kapuas Hulu Dalam Rangka Demonstration Activities Redd",Peraturan Menteri Negara Lingkungan Hidup Nomor 07 Tahun 2012 tentang Pengelolaan Emisi Sumber Tidak Bergerak Bagi Usaha dan/atau Kegiatan Industri Rayon,Peraturan Menteri Kehutanan Nomor P.8/Menhut-II/2012 tentang Layanan Pengadaan Barang/Jasa secara Elektronik di Lingkungan Kementerian Kehutanan
PERMEN LH. 8/2012,PP. 81/2012,PERMEN LH. 9/2012,PERMENHUT. 9/2012,PERMEN LH. 1/2013,PERMENHUT. 10/2013,PERMEN LH. 10/2013,PERMENHUT. 11/2013,PERMEN LH. 11/2013,PERMENHUT. 12/2013,PERMEN LH. 12/2013,PERMENHUT. 13/2013,PERMEN LH. 13/2013,PERMENHUT. 14/2013,PERMEN LH. 14/2013,PERMENHUT. 15/2013,PERMENHUT. 16/2013,PERMENHUT. 17/2013,PERMENHUT. 18/2013,UU. 18/2013,PERMENHUT. 19/2013
Peraturan Menteri Negara Lingkungan Hidup Nomor 08 Tahun 2012 tentang Perubahan atas Peraturan Menteri Negara Lingkungan Hidup Nomor 11 Tahun 2011 tentang Petunjuk Teknis Penyelenggaraan Dekonsentrasi Bidang Lingkungan Hidup Tahun 2012,Peraturan Pemerintah Nomor 81 Tahun 2012 tentang Pengelolaan Sampah Rumah Tangga dan Sampah Sejenis Sampah Rumah Tangga,Peraturan Menteri Negara Lingkungan Hidup Nomor 09 Tahun 2012 tentang Ketentuan Pelaksanaan Peraturan Menteri Negara Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 39 Tahun 2011 tentang Jabatan Fungsional Pengawas Lingkungan Hidup dan An,Peraturan Menteri Kehutanan Nomor P.9/Menhut-II/2012 tentang Rencana Pemenuhan Bahan Baku Industri Primer Hasil Hutan Kayu,Peraturan Menteri Negara Lingkungan Hidup Nomor 1 Tahun 2013 tentang Perubahan atas Peraturan Menteri Negara Lingkungan Hidup Nomor 7 Tahun 2011 tentang Pedoman Pelaksanaan Program Adipura,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 10/Menhut-II/2013 tentang Petunjuk Pelaksanaan Penyelesaian Ganti Kerugian Negara Terhadap Pegawai Negeri Sipil Bukan Bendahara dan Pihak Ke Tiga Di Lingkungan Kementerian Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 10 Tahun 2013 tentang Petunjuk Teknis Penyelenggaraan Dekonsentrasi Bidang Lingkungan Hidup Tahun Anggaran 2014,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 11/Menhut-II/2013 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.36/Menhut-II/2009 Tentang Tata Cara Perizinan Usaha Pemanfaatan Penyerapan dan Atau Penyimpanan Karbon Pada Hutan P,Peraturan Menteri Negara Lingkungan Hidup Nomor 11 Tahun 2013 tentang Pedoman Jabatan Fungsional Umum di Kementerian Lingkungan Hidup,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 12/Menhut-II/2013 tentang Pedoman Penyelenggaraan Kebun Bibit Rakyat,Peraturan Menteri Negara Lingkungan Hidup Nomor 12 Tahun 2013 tentang Kelas Jabatan di Lingkungan Kementerian Lingkungan Hidup,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 13/Menhut-II/2013 tentang Standar Biaya Penialan Kinerja Pengelolaan Hutan Produksi Lestari dan Verifikasi Legalitas Kayu,Peraturan Menteri Negara Lingkungan Hidup Nomor 13 Tahun 2013 tentang Unit Pelayanan Pengadaan di Kementerian Lingkungan Hidup,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 14/Menhut-II/2013 tentang Perubahan Kedua Atas Peraturan Kehutanan Nomor P.18/Menhut-II/2011 tentang Pedoman Pinjam Pakai Kawasan Hutan,Peraturan Menteri Negara Lingkungan Hidup Nomor 14 Tahun 2013 tentang Simbol dan Label Limbah Bahan Berbahaya dan Beracun,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 15/Menhut-II/2013 tentang Perubahan Peraturan Menteri Kehutanan Nomor P. 51/Menhut-II/2010 Tentang Rencana Strategis Kementerian Kehutanan Tahun 2010-2014,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 16/Menhut-II/2013 tentang Perubahan Ketiga Atas Keputusan Menteri Kehutanan Nomor 6188/Kpts-II/2002 tentang Organisasi dan Tata Kerja Balai Pemanfaatan Kawasan Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 17/Menhut-II/2013 tentang Perubahan Keempat Atas Peraturan Menteri Kehutanan Nomor P. 49/Menhut-II/2007 tentang Pelimpahan Sebagian Kewenangan Menteri Kehutanan Sebagai Pengguna Anggaran/ Bara,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 18/Menhut-II/2013 tentang Informasi Verifikasi Legalitas Kayu Melalui Portal Sistem Informasi Legalitas Kayu (Silk) dan Penerbitan Dokumen V-Legal,Peraturan Pemerintah Nomor 18 Tahun 2013 tentang Pencegahan dan Pemberantasan Perusakan Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 19/Menhut-II/2013 tentang Pedoman Umum Pengelolaan Hibah Luar Negeri Lingkup Kementerian Kehutanan
PERMENHUT. 2/2013,PERMEN LH. 2/2013,PERMENHUT. 20/2013,PERMENHUT. 21/2013,PERMENHUT. 22/2013,PERMENHUT. 23/2013,PERMENHUT. 24/2013,PERMENHUT. 25/2013,PERMENHUT. 26/2013,PERMENHUT. 27/2013,PERMENHUT. 28/2013,PERMENHUT. 29/2013,PERMENHUT. 3/2013,PERMEN LH. 3/2013,PERMENHUT. 30/2013,PERMENHUT. 31/2013,PERMENHUT. 32/2013,PERMENHUT. 33/2013,PERMENHUT. 34/2013,PERMENHUT. 35/2013,PERMENHUT. 36/2013
Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 2/Menhut-II/2013 tentang Perubahan Peraturan Menteri Kehutanan Nomor P.44/Menhut-Ii/2009 tentang Organisasi dan Tata Kerja Sekolah Menengah Kejuruan Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 2 Tahun 2013 tentang Pedoman Penerapan Sanksi Administratif di Bidang Perlindungan dan Pengelolaan Lingkungan Hidup,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 20/Menhut-II/2013 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.14/Menhut-II/2011 tentang Izin Pemanfaatan Kayu,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 21/Menhut-II/2013 tentang Standar Biaya Produksi Pemanfaatan Kayu Pada Izin Pemanfaatan Kayu,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 22/Menhut-II/2013 tentang Pedoman Penilaian Lomba Wana Lestari,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 23/Menhut-II/2013 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P. 35/Menhut-II/2012 tentang Pemanfaatan Sarana dan Prasarana Penyuluhan Kehutanan,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 24/Menhut-II/2013 tentang Pelimpahan Sebagian Kewenangan Menteri Kehutanan Sebagai Pengguna Anggaran /Barang Kepada Sekretaris Jenderal, dan Tugas, Wewenang dan Tanggung Jawab Kuasa Pengguna A",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 25/Menhut-II/2013 tentang Pelimpahan Sebagian Urusan Pemerintah (Dekonsentrasi) Bidang Kehutanan Tahun 2013 Kepada 33 Gubernur Pemerintah Provinsi Selaku Wakil Pemerintah,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 26/Menhut-II/2013 tentang Penugasan (Medebewin) Sebagian Urusan Pemerintah Bidang Kehutanan Tahun 2013 Kepada Bupati Berau, Bupati Malinau, dan Bupati Kapuas Hulu Dalam Rangka Demonstration Ac",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 27/Menhut-II/2013 tentang Petunjuk Teknis Pelaksanaan Urusan Pemerintahan (Dekonsentrasi) Bidang Kehutanan Tahun 2013 Yang Dilimpahkan Kepada Gubernur Selaku Wakil Pemerintah,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 28/Menhut-II/2013 tentang Petunjuk Teknis Pelaksanaan Penugasan Sebagian Urusan Pemerintahan Bidang Kehutanan Tahun 2013 Kepada Bupati Berau, Bupati Malinau, dan Bupati Kapuas Hulu Dalam Rangk",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 29/Menhut-II/2013 tentang Pedoman Pendampingan Kegiatan Pembangunan Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 3/Menhut-II/2013 tentang Perubahan Keputusan Menteri Kehutanan Nomor 6173/Kpts-II/2002 tentang Organisasi dan Tata Kerja Balai Pendidikan dan Pelatihan Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 3 Tahun 2013 tentang Audit Lingkungan Hidup,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 30/Menhut-II/2013 tentang Bakti Sarjana Kehutanan dan Pembangunan Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 31/Menhut-II/2013 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.55/Menhut-II/2011 tentang Tata Cara Permohonan Izin Usaha Pemanfaatan Hasil Hutan Kayu Pada Hutan Tanaman Rakyat Da,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 32/Menhut-II/2013 tentang Rencana Makro Pemantapan Kawasan Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 33/Menhut-II/2013 tentang Jadwal Retensi Arsip Keuangan Kementerian Keuangan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 34/Menhut-II/2013 tentang Pedoman Penanganan Pengaduan Internal (Whistleblower System) dan Eksternal (Pengaduan Masyarakat) Atas Tindak Pidan Korupsi Di Lingkungan Kementerian Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 35/Menhut-II/2013 tentang Petunjuk Teknis Jabatan Fungsional Arsiparis dan Angka Kreditnya Lingkup Kementerian Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 36/Menhut-II/2013 tentang Pedoman Penyusunan Rencana Kehutanan Tingkat Kabupaten/Kota
PERMENHUT. 37/2013,PERMENHUT. 38/2013,PERMENHUT. 39/2013,PERMENHUT. 4/2013,PERMEN LH. 4/2013,PERMENHUT. 40/2013,PERMENHUT. 41/2013,PERMENHUT. 42/2013,PERMENHUT. 43/2013,PERMENHUT. 44/2013,PERMENHUT. 45/2013,PERMENHUT. 46/2013,PERMENHUT. 47/2013,PERMENHUT. 48/2013,PERMENHUT. 49/2013,PERMENHUT. 5/2013,PERMEN LH. 5/2013,PERMENHUT. 50/2013,PERMENHUT. 51/2013,PERMENHUT. 52/2013,PERMENHUT. 54/2013
Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 37/Menhut-II/2013 tentang Pedoman Pemantauan dan Pengukuran Kinerja Kementerian Kehutanan Tahun 2013,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 38/Menhut-II/2013 tentang Pengelolaan Sarana Dan Peralatan Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 39/Menhut-II/2013 tentang Pemberdayaan Masyarakat Setempat Melalui Kemitraan Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 4/Menhut-II/2013 tentang Perubahan Kedua Keputusan Menteri Kehutanan Nomor Sk.256/Menhut-Ii/2004 tentang Tata Cara dan Persyaratan Pelepasan / Penjualan Saham Badan Usaha Milik Negara Pada Per,Peraturan Menteri Negara Lingkungan Hidup Nomor 4 Tahun 2013 tentang Pedoman Penyelesaian Sengketa Lingkungan Hidup,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 40/Menhut-II/2013 tentang Tata Cara Pengurusan Piutang Negara Macet Lingkup Kementerian Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 41/Menhut-II/2013 tentang Panduan Penanaman Satu Milyar Pohon,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 42/Menhut-II/2013 tentang Perubahan Ketiga Atas Peraturan Menteri Kehutanan Nomor P.38/Menhut-II/2009 Tentang Standar dan Pedoman Penilaian Kinerja Pengelolaan Hutan Produksi Lestari dan Verif,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 43/Menhut-II/2013 tentang Penataan Batas Areal Kerja Izin Pemanfaatan Hutan, Persetujuan Prinsip Penggunaan Kawasan Hutan, Persetujuan Prinsip Pelepasan Kawasan Hutan dan Pengelolaan Kawasan H",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 44/Menhut-II/2013 tentang Rencana Kehutanan Kementerian Kehutanan Tahun 2014,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 45/Menhut-II/2013 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P. 10/Menhut-II/2013 Tentang Petunjuk Pelaksanaan Penyelesaian Ganti Kerugian Negara Terhadap Pegawai Negeri Bukan Be,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 46/Menhut-II/2013 tentang Tata Cara Pengesahan Rencana Pengelolaan Hutan Jangka Panjang Kesatuan Pengelolaan Hutan Lindung dan Kesatuan Pengelolaan Hutan Produksi,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 47/Menhut-II/2013 tentang Pedoman, Kriteria dan Standar Pemanfaatan Hutan Di Wilayah Tertentu Pada Kesatuan Pengelolaan Hutan Lindung dan Kesatuan Pengelolaan Hutan Produksi",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 48/Menhut-II/2013 tentang Pedoman Reklamasi Hutan Pada Areal Bencana Alam,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 49/Menhut-II/2013 tentang Pedoman Pengelolaan Karya Cetak dan Karya Rekam Lingkup Kementerian Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 5/Menhut-II/2013 tentang Pedoman Kehadiran Pegawai Negeri Sipil Di Lingkungan Kementerian Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 5 Tahun 2013 tentang Pedoman Pelaksanaan Program Adiwiyata,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 50/Menhut-II/2013 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.29/Menhut-II/2010 Tentang Rencana Kerja Usaha Pemanfaatan Hasil Hutan Bukan Kayu Dalam Hutan Tanaman Industri Sagu,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 51/Menhut-II/2013 tentang Organisasi dan Tata Kerja Balai Pendidikan dan Pelatihan Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 52/Menhut-II/2013 tentang Organisasi dan Tata Kerja Sekolah Menengah Kejuruan Kehutanan Negeri,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 54/Menhut-II/2013 tentang Strategi dan Rencana Aksi Konservasi Anoa (Bubalus Depressicornis dan Bubalus Quarlesi) Tahun 2013-2022
